studentNo,studentName,mobile,email,age,classNo,year,status,active
1,Student1,9000000001,student1@example.com,18,1,2024,,
2,Student2,9000000002,student2@example.com,19,2,2024,,
3,Student3,9000000003,student3@example.com,20,3,2024,,
4,Student4,9000000004,student4@example.com,21,4,2024,,
5,Student5,9000000005,student5@example.com,22,5,2024,,
6,Student6,9000000006,student6@example.com,18,1,2024,,
7,Student7,9000000007,student7@example.com,19,2,2024,,
8,Student8,9000000008,student8@example.com,20,3,2024,,
9,Student9,9000000009,student9@example.com,21,4,2024,,
10,Student10,9000000010,student10@example.com,22,5,2024,,
11,Student11,9000000011,student11@example.com,18,1,2024,,
12,Student12,9000000012,student12@example.com,19,2,2024,,
13,Student13,9000000013,student13@example.com,20,3,2024,,
14,Student14,9000000014,student14@example.com,21,4,2024,,
15,Student15,9000000015,student15@example.com,22,5,2024,,
16,Student16,9000000016,student16@example.com,18,1,2024,,
17,Student17,9000000017,student17@example.com,19,2,2024,,
18,Student18,9000000018,student18@example.com,20,3,2024,,
19,Student19,9000000019,student19@example.com,21,4,2024,,
20,Student20,9000000020,student20@example.com,22,5,2024,,
21,Student21,9000000021,student21@example.com,18,1,2024,,
22,Student22,9000000022,student22@example.com,19,2,2024,,
23,Student23,9000000023,student23@example.com,20,3,2024,,
24,Student24,9000000024,student24@example.com,21,4,2024,,
25,Student25,9000000025,student25@example.com,22,5,2024,,
26,Student26,9000000026,student26@example.com,18,1,2024,,
27,Student27,9000000027,student27@example.com,19,2,2024,,
28,Student28,9000000028,student28@example.com,20,3,2024,,
29,Student29,9000000029,student29@example.com,21,4,2024,,
30,Student30,9000000030,student30@example.com,22,5,2024,,
31,Student31,9000000031,student31@example.com,18,1,2024,,
32,Student32,9000000032,student32@example.com,19,2,2024,,
33,Student33,9000000033,student33@example.com,20,3,2024,,
34,Student34,9000000034,student34@example.com,21,4,2024,,
35,Student35,9000000035,student35@example.com,22,5,2024,,
36,Student36,9000000036,student36@example.com,18,1,2024,,
37,Student37,9000000037,student37@example.com,19,2,2024,,
38,Student38,9000000038,student38@example.com,20,3,2024,,
39,Student39,9000000039,student39@example.com,21,4,2024,,
40,Student40,9000000040,student40@example.com,22,5,2024,,
41,Student41,9000000041,student41@example.com,18,1,2024,,
42,Student42,9000000042,student42@example.com,19,2,2024,,
43,Student43,9000000043,student43@example.com,20,3,2024,,
44,Student44,9000000044,student44@example.com,21,4,2024,,
45,Student45,9000000045,student45@example.com,22,5,2024,,
46,Student46,9000000046,student46@example.com,18,1,2024,,
47,Student47,9000000047,student47@example.com,19,2,2024,,
48,Student48,9000000048,student48@example.com,20,3,2024,,
49,Student49,9000000049,student49@example.com,21,4,2024,,
50,Student50,9000000050,student50@example.com,22,5,2024,,
51,Student51,9000000051,student51@example.com,18,1,2024,,
52,Student52,9000000052,student52@example.com,19,2,2024,,
53,Student53,9000000053,student53@example.com,20,3,2024,,
54,Student54,9000000054,student54@example.com,21,4,2024,,
55,Student55,9000000055,student55@example.com,22,5,2024,,
56,Student56,9000000056,student56@example.com,18,1,2024,,
57,Student57,9000000057,student57@example.com,19,2,2024,,
58,Student58,9000000058,student58@example.com,20,3,2024,,
59,Student59,9000000059,student59@example.com,21,4,2024,,
60,Student60,9000000060,student60@example.com,22,5,2024,,
61,Student61,9000000061,student61@example.com,18,1,2024,,
62,Student62,9000000062,student62@example.com,19,2,2024,,
63,Student63,9000000063,student63@example.com,20,3,2024,,
64,Student64,9000000064,student64@example.com,21,4,2024,,
65,Student65,9000000065,student65@example.com,22,5,2024,,
66,Student66,9000000066,student66@example.com,18,1,2024,,
67,Student67,9000000067,student67@example.com,19,2,2024,,
68,Student68,9000000068,student68@example.com,20,3,2024,,
69,Student69,9000000069,student69@example.com,21,4,2024,,
70,Student70,9000000070,student70@example.com,22,5,2024,,
71,Student71,9000000071,student71@example.com,18,1,2024,,
72,Student72,9000000072,student72@example.com,19,2,2024,,
73,Student73,9000000073,student73@example.com,20,3,2024,,
74,Student74,9000000074,student74@example.com,21,4,2024,,
75,Student75,9000000075,student75@example.com,22,5,2024,,
76,Student76,9000000076,student76@example.com,18,1,2024,,
77,Student77,9000000077,student77@example.com,19,2,2024,,
78,Student78,9000000078,student78@example.com,20,3,2024,,
79,Student79,9000000079,student79@example.com,21,4,2024,,
80,Student80,9000000080,student80@example.com,22,5,2024,,
81,Student81,9000000081,student81@example.com,18,1,2024,,
82,Student82,9000000082,student82@example.com,19,2,2024,,
83,Student83,9000000083,student83@example.com,20,3,2024,,
84,Student84,9000000084,student84@example.com,21,4,2024,,
85,Student85,9000000085,student85@example.com,22,5,2024,,
86,Student86,9000000086,student86@example.com,18,1,2024,,
87,Student87,9000000087,student87@example.com,19,2,2024,,
88,Student88,9000000088,student88@example.com,20,3,2024,,
89,Student89,9000000089,student89@example.com,21,4,2024,,
90,Student90,9000000090,student90@example.com,22,5,2024,true,y
91,Student91,9000000091,student91@example.com,18,1,2024,true,y
92,Student92,9000000092,student92@example.com,19,2,2024,true,y
93,Student93,9000000093,student93@example.com,20,3,2024,true,y
94,Student94,9000000094,student94@example.com,21,4,2024,,
95,Student95,9000000095,student95@example.com,22,5,2024,,
96,Student96,9000000096,student96@example.com,18,1,2024,,
97,Student97,9000000097,student97@example.com,19,2,2024,TRUE,y
98,Student98,9000000098,student98@example.com,20,3,2024,TRUE,y
99,Student99,9000000099,student99@example.com,21,4,2024,TRUE,y
100,Student100,9000000100,student100@example.com,22,5,2024,TRUE,y
